CUSTID,COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,LEAVE
126,zero,154596,163,12,825253,810,14,6,very_unsat,very_little,never_thought,LEAVE
128,zero,135797,59,14,150953,641,5,4,very_sat,little,considering,STAY
129,zero,26918,0,10,261614,179,0,6,sat,little,actively_looking_into_it,STAY
131,zero,64377,148,21,403102,347,10,10,very_sat,very_high,actively_looking_into_it,STAY
132,zero,83020,211,81,310469,165,12,1,very_unsat,little,considering,LEAVE
133,zero,76113,209,0,192765,162,14,8,very_unsat,little,actively_looking_into_it,LEAVE
134,one,139334,38,41,378749,705,4,2,very_sat,very_little,considering,LEAVE
135,one,154628,58,0,531069,454,3,10,very_sat,very_high,considering,STAY
137,one,152863,0,75,200579,605,0,2,unsat,avg,considering,LEAVE
140,one,132729,245,0,975834,319,21,10,avg,avg,actively_looking_into_it,LEAVE
141,one,111211,219,0,636157,447,26,8,very_unsat,very_high,never_thought,STAY
142,zero,30742,82,59,175583,146,4,1,avg,very_high,actively_looking_into_it,STAY
143,zero,98101,175,12,185838,381,14,6,avg,little,actively_looking_into_it,LEAVE
144,one,92165,152,0,771245,372,26,15,avg,high,actively_looking_into_it,STAY
145,one,65410,0,32,259440,361,1,2,very_sat,little,no,LEAVE
146,one,106193,203,0,458895,491,21,8,unsat,very_little,considering,LEAVE
147,one,43913,218,73,184765,243,14,2,unsat,little,never_thought,LEAVE
152,one,41874,0,0,477865,198,4,8,very_unsat,very_little,actively_looking_into_it,LEAVE
154,zero,130831,203,37,679608,564,13,2,very_unsat,little,considering,LEAVE
155,one,122774,78,0,177649,754,3,9,very_sat,little,never_thought,STAY
156,one,92022,70,0,907989,268,3,10,very_unsat,very_little,no,STAY
158,one,121739,0,0,869426,805,1,14,avg,very_little,considering,LEAVE
160,one,44713,0,70,244136,229,1,1,very_sat,high,actively_looking_into_it,STAY
161,zero,102317,70,0,502376,571,3,12,avg,high,actively_looking_into_it,STAY
164,one,130433,73,10,201671,614,3,4,very_sat,little,perhaps,LEAVE
166,one,92843,184,69,214578,360,21,4,very_unsat,very_little,considering,LEAVE
168,zero,61956,87,0,241677,753,5,2,very_sat,little,considering,STAY
169,zero,27984,0,17,493115,236,1,12,very_unsat,little,no,STAY
170,zero,95617,197,32,700876,315,19,2,avg,avg,considering,STAY
173,one,112939,213,0,206983,494,26,13,very_sat,little,considering,LEAVE
175,zero,99064,235,16,763680,281,1,4,sat,very_high,no,STAY
176,one,42181,72,0,214066,197,3,10,very_sat,little,considering,STAY
178,zero,104359,75,23,697629,460,27,5,very_sat,very_high,considering,LEAVE
179,zero,133227,0,36,597447,780,1,1,unsat,little,no,STAY
180,zero,46760,230,0,552976,224,19,11,very_unsat,very_high,actively_looking_into_it,LEAVE
181,zero,33445,182,84,201373,155,10,2,very_unsat,high,no,LEAVE
182,one,61915,44,59,342735,378,4,2,very_unsat,little,actively_looking_into_it,STAY
183,one,157644,50,12,246973,537,4,4,avg,very_high,never_thought,LEAVE
185,zero,66588,233,0,215514,371,18,15,unsat,very_little,actively_looking_into_it,LEAVE
186,zero,31409,145,23,910527,200,23,1,very_unsat,little,considering,STAY
187,one,52814,62,0,538350,253,3,8,unsat,very_little,considering,LEAVE
188,zero,151627,71,0,248208,582,5,10,unsat,very_high,considering,STAY
189,one,109684,0,14,167886,730,0,8,very_sat,little,no,STAY
190,one,29005,146,0,345310,204,19,10,avg,very_high,considering,STAY
191,zero,48619,222,17,267344,176,10,1,sat,very_high,actively_looking_into_it,LEAVE
193,zero,59221,171,56,721347,281,20,2,very_unsat,little,considering,LEAVE
194,one,25013,57,88,497345,138,3,2,very_sat,very_little,actively_looking_into_it,STAY
195,one,82889,0,0,294120,844,1,11,unsat,little,considering,LEAVE
196,one,129466,60,0,672504,732,3,12,sat,very_little,actively_looking_into_it,LEAVE
197,one,37263,0,20,168922,247,0,4,avg,little,considering,STAY
200,one,114022,0,0,303244,196,1,10,very_sat,avg,actively_looking_into_it,LEAVE
201,zero,33955,0,15,547644,182,29,5,very_sat,little,considering,STAY
202,one,28311,0,52,344968,169,1,1,very_unsat,very_high,never_thought,STAY
204,zero,157121,98,21,295727,615,5,4,very_unsat,very_high,no,LEAVE
206,one,47113,0,6,988310,192,0,4,very_sat,very_high,actively_looking_into_it,STAY
207,one,37890,0,0,468617,235,0,15,very_unsat,high,no,LEAVE
208,one,27005,185,7,625976,193,24,5,very_unsat,very_little,considering,STAY
210,zero,132376,177,16,399301,837,22,5,very_sat,little,actively_looking_into_it,LEAVE
211,zero,105814,172,22,282118,563,13,5,unsat,little,actively_looking_into_it,LEAVE
214,zero,126718,61,0,343847,492,4,12,unsat,very_high,actively_looking_into_it,LEAVE
215,one,24992,0,0,474396,240,0,11,very_unsat,little,actively_looking_into_it,LEAVE
216,zero,60809,235,9,434847,354,25,4,very_unsat,very_high,considering,LEAVE
219,one,145115,0,0,175115,507,1,11,very_sat,little,considering,STAY
221,one,35996,210,23,223268,212,14,15,avg,little,actively_looking_into_it,LEAVE
222,zero,98064,49,54,295639,317,3,2,unsat,very_high,no,LEAVE
227,zero,48160,55,20,492616,231,5,4,very_unsat,very_little,perhaps,STAY
228,zero,42759,184,0,582094,145,15,8,very_sat,little,considering,LEAVE
230,one,48030,55,72,233254,174,3,1,very_unsat,very_high,no,STAY
231,one,140091,63,20,354330,763,3,5,avg,little,no,STAY
232,zero,153391,47,88,281272,518,0,2,very_sat,little,considering,LEAVE
233,zero,101630,0,0,640544,811,1,11,very_unsat,little,considering,LEAVE
234,zero,22166,193,7,302744,360,27,4,unsat,very_high,no,LEAVE
235,zero,80193,0,43,353559,308,1,1,unsat,high,no,LEAVE
236,one,87269,0,0,244719,349,1,9,sat,little,no,STAY
237,one,133811,60,20,912325,779,5,6,very_sat,very_little,considering,LEAVE
240,one,34135,235,80,279080,516,18,10,avg,very_high,considering,LEAVE
241,one,104392,0,0,247836,778,1,8,very_sat,little,no,LEAVE
242,one,156434,55,15,417298,501,5,4,very_unsat,high,considering,STAY
243,zero,38212,0,20,435049,176,17,4,very_unsat,very_little,considering,STAY
244,zero,32799,39,0,548785,181,3,13,very_unsat,little,never_thought,STAY
245,one,49927,38,22,525311,160,5,5,very_unsat,little,considering,LEAVE
247,one,154217,0,30,553967,553,0,2,very_unsat,very_little,no,LEAVE
249,one,151155,74,0,169335,744,3,14,very_unsat,very_high,no,LEAVE
250,one,104508,60,70,516943,465,3,2,avg,very_little,actively_looking_into_it,LEAVE
251,one,147369,0,22,457547,556,0,6,very_unsat,very_little,considering,STAY
253,zero,26605,225,39,545912,213,14,1,unsat,little,no,LEAVE
254,one,54995,33,0,723671,287,1,14,very_sat,high,considering,LEAVE
255,zero,137801,45,0,329814,707,5,13,very_sat,little,considering,LEAVE
256,zero,32786,203,18,847293,217,28,15,sat,little,considering,STAY
257,one,29215,0,11,829545,147,0,5,very_unsat,very_little,considering,STAY
259,zero,38199,194,7,437848,203,0,5,very_sat,very_high,never_thought,LEAVE
261,zero,71884,0,0,220732,321,0,9,very_unsat,high,actively_looking_into_it,LEAVE
263,zero,46552,43,0,752347,135,3,9,unsat,very_high,considering,STAY
264,zero,31754,61,0,548216,149,3,8,very_unsat,very_high,considering,STAY
266,zero,81213,51,48,846657,392,4,2,very_unsat,little,no,STAY
267,zero,40007,50,0,452723,140,5,1,very_unsat,little,perhaps,LEAVE
268,one,113878,51,0,863737,760,4,12,very_sat,little,never_thought,STAY
269,zero,143837,216,66,164439,571,15,2,unsat,very_little,considering,LEAVE
271,zero,108842,67,26,254481,517,4,1,avg,little,considering,LEAVE
272,one,26745,0,47,914098,227,0,1,very_sat,very_high,considering,STAY
273,zero,26681,0,6,559376,159,20,6,very_unsat,high,perhaps,STAY
274,one,41537,33,33,293095,175,4,2,unsat,very_little,considering,LEAVE
275,zero,159769,61,0,619810,596,4,8,unsat,little,no,LEAVE
278,one,40018,79,0,588761,837,5,10,very_sat,high,considering,LEAVE
279,zero,82145,69,14,454457,140,0,5,very_sat,little,actively_looking_into_it,LEAVE
280,one,158010,0,24,158520,422,0,6,very_sat,very_high,considering,STAY
281,one,37908,148,70,515646,187,12,1,unsat,very_little,never_thought,STAY
282,one,153769,50,39,799356,781,3,4,very_unsat,very_little,never_thought,LEAVE
283,one,79642,0,10,469442,390,1,4,very_unsat,little,considering,STAY
284,one,134002,57,14,480675,238,19,4,very_unsat,little,considering,LEAVE
285,zero,31499,199,11,657719,225,25,2,sat,high,actively_looking_into_it,STAY
287,one,20569,152,0,496985,185,14,13,very_sat,little,considering,LEAVE
289,zero,71078,34,72,572463,350,4,1,very_sat,very_high,considering,LEAVE
290,zero,134266,0,88,221311,439,0,2,unsat,very_little,never_thought,STAY
293,one,79470,161,9,518144,272,28,2,unsat,very_high,considering,LEAVE
294,one,78416,183,0,388824,276,26,10,sat,very_high,no,LEAVE
296,zero,102926,0,9,197486,504,0,4,very_unsat,little,no,STAY
297,zero,24559,56,28,645419,141,5,2,very_sat,little,considering,STAY
298,zero,138135,25,6,564575,536,4,6,very_unsat,little,never_thought,LEAVE
299,zero,79359,77,32,473954,305,29,1,very_sat,very_high,considering,STAY
302,one,79934,68,10,473200,335,11,6,very_unsat,little,no,STAY
305,zero,21030,56,0,323875,239,4,9,unsat,very_little,no,STAY
307,zero,23157,47,85,982795,132,3,1,very_sat,very_little,considering,LEAVE
308,zero,21437,64,37,200628,188,0,2,very_unsat,avg,considering,STAY
309,one,95952,0,60,446559,374,1,2,very_sat,little,actively_looking_into_it,STAY
312,one,92719,210,20,190563,395,5,4,very_sat,very_high,actively_looking_into_it,LEAVE
315,one,81295,59,8,541859,284,4,5,very_sat,little,actively_looking_into_it,STAY
320,one,80495,72,58,382795,326,5,1,sat,very_little,considering,LEAVE
322,one,91247,38,22,166142,313,3,5,very_sat,very_high,no,STAY
323,zero,28165,52,0,496022,199,5,4,avg,very_high,never_thought,STAY
324,one,27561,0,19,733929,222,1,4,very_sat,little,considering,STAY
325,zero,135255,78,58,352473,498,1,2,very_unsat,very_little,considering,LEAVE
326,zero,155887,222,5,278516,811,29,6,very_unsat,very_high,actively_looking_into_it,LEAVE
327,zero,93239,0,21,630612,264,1,5,sat,very_little,considering,STAY
328,one,132181,0,64,629528,893,4,2,very_unsat,little,actively_looking_into_it,LEAVE
329,zero,96456,218,81,932581,324,1,2,very_sat,very_little,considering,STAY
331,zero,55530,0,0,391642,297,0,8,very_unsat,very_high,actively_looking_into_it,STAY
332,zero,58562,0,7,782062,272,1,4,unsat,very_high,considering,LEAVE
334,one,155490,63,67,241662,494,3,2,very_sat,very_high,no,LEAVE
336,one,24249,100,47,232689,134,3,2,avg,high,considering,LEAVE
337,zero,44482,0,0,601770,162,0,14,sat,very_little,actively_looking_into_it,LEAVE
340,one,89281,186,7,150021,331,21,6,very_unsat,avg,no,LEAVE
341,zero,64040,0,23,292321,391,3,4,unsat,very_high,actively_looking_into_it,STAY
342,zero,151435,0,78,489304,680,1,2,very_unsat,little,considering,LEAVE
343,zero,76862,210,68,210001,371,11,2,unsat,high,considering,STAY
344,one,77395,73,6,441880,268,5,4,very_sat,little,no,STAY
349,zero,135217,58,0,566213,753,4,14,very_unsat,little,never_thought,STAY
350,zero,21634,48,50,505301,234,5,2,very_unsat,very_high,actively_looking_into_it,LEAVE
352,one,47499,62,0,792947,219,3,2,unsat,very_high,considering,STAY
353,zero,35462,0,32,203513,781,1,2,very_unsat,very_little,considering,STAY
354,zero,80765,37,0,498973,252,3,9,very_sat,high,no,STAY
355,zero,114706,0,5,448239,507,1,4,very_sat,very_little,actively_looking_into_it,STAY
358,zero,51112,0,0,638240,359,0,11,unsat,little,considering,STAY
359,zero,108805,242,9,624764,749,11,5,very_unsat,very_little,no,LEAVE
360,zero,41946,187,0,222833,195,1,14,very_unsat,very_high,considering,LEAVE
362,zero,96351,60,0,198925,307,5,1,very_sat,very_high,actively_looking_into_it,STAY
363,one,118428,72,13,733268,422,5,6,unsat,very_high,considering,LEAVE
365,zero,71198,62,0,675518,272,4,14,unsat,little,never_thought,STAY
366,zero,102427,227,52,925878,565,13,5,unsat,very_high,never_thought,STAY
367,zero,21817,100,24,771557,244,3,5,very_unsat,very_high,actively_looking_into_it,LEAVE
368,one,105344,0,83,978189,713,1,1,very_sat,little,considering,LEAVE
370,zero,90368,0,0,176305,280,1,8,unsat,very_high,actively_looking_into_it,LEAVE
371,zero,38349,0,14,687550,181,1,6,unsat,very_little,considering,STAY
372,zero,24596,214,43,539524,214,10,1,very_sat,high,no,LEAVE
374,zero,109240,71,26,279529,373,4,1,very_sat,little,no,STAY
377,one,26923,0,12,712433,151,1,6,very_sat,very_little,actively_looking_into_it,STAY
378,one,60272,56,9,664786,366,5,6,very_unsat,avg,no,STAY
379,one,150467,74,74,989555,818,3,1,very_unsat,little,actively_looking_into_it,LEAVE
381,one,113059,0,60,441480,834,1,2,unsat,very_high,considering,LEAVE
382,zero,83828,225,40,816166,342,15,2,very_unsat,very_high,considering,STAY
383,zero,48779,221,0,984262,131,19,15,avg,high,actively_looking_into_it,STAY
384,zero,75740,0,15,212115,395,0,4,avg,little,perhaps,STAY
385,zero,62488,77,24,625717,278,5,9,very_unsat,very_high,considering,STAY
386,zero,114773,0,0,772632,672,0,9,unsat,very_high,considering,STAY
389,zero,85230,62,0,200147,704,5,8,very_unsat,high,considering,LEAVE
390,zero,92449,58,6,771185,333,4,6,very_unsat,very_high,considering,STAY
391,one,26579,86,24,505543,213,1,5,very_unsat,avg,actively_looking_into_it,LEAVE
393,zero,83681,54,0,775143,338,3,8,very_sat,very_little,actively_looking_into_it,LEAVE
394,one,137070,0,0,541938,573,11,11,unsat,very_high,considering,LEAVE
396,zero,144325,40,6,965167,707,3,6,very_unsat,little,considering,LEAVE
397,zero,72664,73,0,548977,318,4,11,very_sat,very_little,actively_looking_into_it,LEAVE
400,one,115228,172,0,326861,677,16,15,unsat,little,never_thought,LEAVE
401,zero,149954,196,11,272425,628,20,5,very_unsat,very_high,considering,LEAVE
402,one,57711,61,0,208138,313,3,12,avg,very_high,considering,LEAVE
403,zero,34884,87,23,456794,228,0,5,unsat,very_high,considering,LEAVE
404,zero,139391,0,13,990563,449,0,4,unsat,high,actively_looking_into_it,LEAVE
405,zero,51238,44,0,219309,309,3,11,very_unsat,very_little,actively_looking_into_it,STAY
406,one,150910,208,13,157594,837,29,15,avg,little,no,LEAVE
408,zero,71318,190,87,280486,645,21,1,sat,high,actively_looking_into_it,LEAVE
410,one,33582,0,21,339761,155,1,5,very_sat,avg,actively_looking_into_it,STAY
411,one,118051,0,0,220239,772,1,9,very_unsat,very_high,actively_looking_into_it,LEAVE
413,one,108224,0,46,498937,780,1,1,sat,very_high,perhaps,LEAVE
414,one,114788,70,13,367239,653,3,5,unsat,very_high,no,STAY
415,one,134509,175,16,530332,677,13,5,very_unsat,little,no,LEAVE
416,one,20684,0,20,272561,153,0,4,very_sat,high,no,STAY
417,one,90964,248,0,699052,398,27,14,very_unsat,very_high,considering,STAY
418,zero,120258,192,0,431783,838,24,5,very_unsat,little,considering,LEAVE
422,zero,35124,161,0,704718,178,10,12,unsat,little,no,LEAVE
423,one,34193,240,89,659870,609,19,1,very_sat,very_little,perhaps,STAY
424,one,89296,0,0,208853,198,0,10,very_unsat,very_little,considering,STAY
425,one,124891,212,9,354610,349,11,6,avg,very_high,no,STAY
427,zero,27005,187,60,256163,197,24,1,very_unsat,little,considering,LEAVE
428,zero,109254,184,0,599733,861,14,13,unsat,little,considering,LEAVE
429,one,27751,0,67,380831,158,0,2,unsat,very_high,actively_looking_into_it,LEAVE
430,one,40723,0,14,216914,628,0,1,very_sat,very_little,no,STAY
433,zero,113868,227,41,183375,573,13,1,very_unsat,very_high,considering,STAY
434,one,105977,130,14,182229,313,21,5,very_unsat,high,perhaps,LEAVE
435,zero,26657,45,0,391993,179,3,14,very_sat,high,considering,LEAVE
436,one,87904,203,17,202766,317,11,5,very_sat,very_little,actively_looking_into_it,LEAVE
437,zero,144945,0,28,920902,459,1,1,very_unsat,very_little,actively_looking_into_it,LEAVE
438,one,48287,0,76,523929,179,1,2,very_sat,very_high,actively_looking_into_it,LEAVE
439,one,87597,0,24,999248,191,0,5,very_unsat,high,no,STAY
441,zero,65230,0,37,627639,292,1,1,very_sat,very_little,perhaps,LEAVE
442,one,98379,117,0,590375,391,14,10,avg,very_little,perhaps,LEAVE
443,one,36724,0,19,150873,159,1,4,very_unsat,little,considering,STAY
444,zero,21976,66,0,426410,354,5,11,very_unsat,little,actively_looking_into_it,LEAVE
445,one,154483,193,21,263985,730,19,10,very_unsat,high,no,LEAVE
446,zero,27442,37,24,367615,614,5,4,avg,little,considering,STAY
447,one,36797,0,0,218335,163,1,10,very_sat,high,no,LEAVE
448,one,38010,33,24,897786,232,4,5,avg,avg,considering,STAY
452,one,118008,63,43,157907,835,3,2,very_sat,little,actively_looking_into_it,STAY
453,one,78353,0,89,777993,340,0,1,very_unsat,little,considering,STAY
454,zero,112708,0,0,673268,796,1,9,very_sat,avg,actively_looking_into_it,STAY
455,zero,139886,79,5,705210,799,4,6,very_unsat,little,actively_looking_into_it,LEAVE
456,zero,27089,52,56,281950,184,3,14,very_unsat,very_high,actively_looking_into_it,LEAVE
457,one,36585,0,43,344581,537,0,1,avg,very_high,no,LEAVE
458,one,43760,60,0,345936,143,11,13,unsat,little,actively_looking_into_it,LEAVE
459,one,39061,0,0,202126,151,0,11,very_unsat,very_little,never_thought,LEAVE
460,one,68166,68,80,936581,324,4,2,unsat,very_little,never_thought,STAY
462,one,75854,193,68,436142,300,11,2,unsat,very_high,actively_looking_into_it,STAY
463,one,21095,0,0,308648,244,1,8,unsat,very_high,actively_looking_into_it,STAY
464,one,45610,225,6,456479,244,12,6,very_unsat,little,considering,STAY
465,zero,117558,40,6,403254,263,3,6,very_unsat,very_high,considering,STAY
467,zero,131278,0,24,476148,750,1,4,very_unsat,little,no,STAY
468,one,149900,71,75,658704,839,3,1,sat,little,no,LEAVE
469,one,31893,0,0,989208,238,1,5,very_sat,very_little,considering,STAY
470,zero,48699,0,0,993908,156,1,13,very_unsat,little,actively_looking_into_it,STAY
471,one,96199,75,0,583119,321,4,10,avg,very_little,no,STAY
472,one,109273,182,22,675062,360,29,5,unsat,little,considering,LEAVE
473,zero,38537,170,11,785074,203,28,5,very_unsat,very_little,perhaps,LEAVE
477,zero,55125,0,0,784647,648,0,11,very_sat,high,considering,STAY
480,one,53967,68,20,178614,275,5,1,very_sat,little,actively_looking_into_it,STAY
481,one,154827,170,86,377589,805,18,1,unsat,very_little,actively_looking_into_it,LEAVE
482,zero,143350,236,0,999970,840,25,10,very_unsat,high,never_thought,LEAVE
483,one,36724,0,11,499965,130,1,5,unsat,very_little,actively_looking_into_it,LEAVE
486,one,46005,62,0,271663,218,4,12,very_unsat,high,actively_looking_into_it,STAY
489,zero,78418,176,0,486802,277,25,12,unsat,very_little,perhaps,STAY
490,one,140524,82,9,911366,882,5,4,avg,little,considering,LEAVE
491,one,90415,179,0,566426,369,14,15,unsat,little,actively_looking_into_it,STAY
492,one,150433,0,9,392309,431,12,6,very_unsat,very_little,no,LEAVE
493,one,30377,163,0,360046,154,19,13,very_unsat,little,considering,STAY
494,zero,113659,168,0,155232,648,21,12,very_unsat,little,considering,LEAVE
495,one,34569,0,80,737019,230,0,1,very_unsat,little,actively_looking_into_it,STAY
496,zero,113681,173,17,264837,362,17,5,unsat,very_high,no,LEAVE
497,zero,43270,0,0,206387,184,1,14,very_unsat,little,actively_looking_into_it,STAY
499,zero,44630,0,71,231648,179,1,1,very_sat,high,considering,STAY
501,one,43494,186,0,662450,300,26,15,very_unsat,very_little,considering,STAY
503,one,127392,198,0,196923,595,24,13,very_unsat,little,considering,LEAVE
505,zero,50714,71,0,708017,269,5,14,very_unsat,very_little,never_thought,STAY
506,zero,123297,0,0,223341,529,0,11,very_unsat,very_high,no,STAY
507,zero,25550,0,66,181050,156,1,2,unsat,little,considering,LEAVE
